141;Kessler Edwards;SF;22;TOT;36;4;10.7;1;2.6;0.387;0.5;1.5;0.309;0.5;1.1;0.5;0.478;0.3;0.4;0.733;0.6;1.1;1.7;0.6;0.4;0.2;0.4;1.1;2.8
148;Simone Fontecchio;SF;27;UTA;52;6;14.7;2.2;6;0.369;1.2;3.7;0.33;1;2.3;0.43;0.47;0.7;0.8;0.795;0.6;1.1;1.7;0.8;0.3;0.2;0.8;1.2;6.3
182;AJ Griffin;SF;19;ATL;72;12;19.5;3.4;7.4;0.465;1.4;3.6;0.39;2;3.8;0.536;0.56;0.6;0.7;0.894;0.5;1.6;2.1;1;0.6;0.2;0.6;1.2;8.9
187;Jordan Hall;SF;21;SAS;9;0;9.2;1;3.1;0.321;0.3;1.7;0.2;0.7;1.4;0.462;0.375;0.8;1;0.778;0.3;1;1.3;1.2;0.1;0;0.8;0.7;3.1
192;Ron Harper Jr.;SF;22;TOR;9;0;5.3;0.9;1.8;0.5;0.3;1;0.333;0.6;0.8;0.714;0.594;0.1;0.1;1;0.3;0.4;0.8;0.4;0;0.1;0;0.3;2.2
199;Josh Hart;SF-SG;27;TOT;76;52;32.3;3.6;6.8;0.529;0.8;2.2;0.372;2.8;4.7;0.601;0.588;1.7;2.3;0.75;1.9;5.9;7.8;3.8;1.2;0.3;1.5;2.6;9.8
205;Gordon Hayward;SF;32;CHO;50;50;31.5;5.5;11.6;0.475;1;3.2;0.325;4.5;8.4;0.532;0.52;2.6;3.2;0.811;0.7;3.6;4.3;4.1;0.8;0.2;2;1.4;14.7
209;Buddy Hield;SF;30;IND;80;73;31;5.9;13;0.458;3.6;8.5;0.425;2.3;4.5;0.518;0.596;1.3;1.6;0.822;0.8;4.2;5;2.8;1.2;0.3;1.7;2;16.8
210;Haywood Highsmith;SF;26;MIA;54;11;17.9;1.7;4;0.431;0.7;2;0.339;1;2;0.523;0.516;0.2;0.5;0.464;1.1;2.4;3.5;0.8;0.7;0.3;0.8;1.5;4.4
212;Malcolm Hill;SF;27;CHI;5;0;1.8;0.4;0.8;0.5;0.2;0.6;0.333;0.2;0.2;1;0.625;0;0;0;0;0.6;0.6;0;0;0;0;0.2;1
219;Danuel House Jr.;SF;29;PHI;56;5;14.4;1.7;3.5;0.472;0.7;2;0.336;1;1.6;0.644;0.566;0.8;1.1;0.75;0.2;1.5;1.7;0.8;0.3;0.2;0.5;1.2;4.8
220;Caleb Houstan;SF;20;ORL;51;4;15.9;1.3;3.6;0.363;0.9;2.7;0.338;0.4;0.9;0.435;0.489;0.3;0.4;0.833;0.7;1.3;1.9;0.6;0.2;0.1;0.4;1.2;3.8
224;De'Andre Hunter;SF;25;ATL;67;67;31.7;5.7;12.3;0.461;1.5;4.3;0.35;4.2;8;0.521;0.522;2.6;3.1;0.826;0.7;3.6;4.2;1.4;0.5;0.3;1.2;3;15.4
227;Andre Iguodala;SF;39;GSW;8;0;14.1;0.9;1.9;0.467;0.1;1.1;0.111;0.8;0.8;1;0.5;0.3;0.4;0.667;0.4;1.8;2.1;2.4;0.5;0.4;1.1;1.4;2.1
228;Joe Ingles;SF;35;MIL;46;0;22.7;2.3;5.4;0.435;1.8;4.4;0.409;0.5;1;0.556;0.603;0.4;0.5;0.857;0.3;2.5;2.8;3.3;0.7;0.1;1.2;1.6;6.9
229;Brandon Ingram;SF;25;NOP;45;45;34.2;9;18.6;0.484;1.4;3.6;0.39;7.6;14.9;0.507;0.522;5.3;6;0.882;0.5;5;5.5;5.8;0.7;0.4;3.3;2.6;24.7
236;Justin Jackson;SF;27;BOS;23;0;4.7;0.3;1.2;0.259;0.2;0.9;0.25;0.1;0.3;0.286;0.352;0;0.1;0.5;0.1;0.7;0.7;0.4;0.2;0.2;0.1;0.3;0.9
244;Jalen Johnson;SF;21;ATL;70;6;14.9;2.3;4.6;0.491;0.4;1.5;0.288;1.8;3.1;0.587;0.537;0.7;1.1;0.628;0.7;3.3;4;1.2;0.5;0.5;0.6;1.6;5.6
246;Keldon Johnson;SF;23;SAS;63;63;32.7;8;17.7;0.452;2.1;6.5;0.329;5.9;11.2;0.523;0.512;3.9;5.2;0.749;0.9;4.2;5;2.9;0.7;0.2;2.1;2;22
248;Stanley Johnson;SF;26;SAS;30;0;15.6;2.2;4.1;0.533;0.6;1.3;0.45;1.6;2.7;0.573;0.607;0.9;1.3;0.667;0.7;2.4;3.2;2.2;0.5;0.2;1.1;1.6;5.8
252;Derrick Jones Jr.;SF;25;CHI;64;0;14;1.8;3.6;0.5;0.4;1.3;0.338;1.4;2.3;0.587;0.559;1;1.3;0.738;0.9;1.5;2.4;0.5;0.5;0.6;0.4;1.3;5
253;Herbert Jones;SF;24;NOP;66;66;29.6;3.6;7.6;0.469;0.8;2.5;0.335;2.7;5.1;0.536;0.525;1.9;2.4;0.764;1.5;2.6;4.1;2.5;1.6;0.6;1.3;3.2;9.8
260;Johnny Juzang;SF;21;UTA;18;0;12.9;1.9;5.8;0.337;0.8;3.5;0.238;1.1;2.3;0.488;0.409;0.1;0.2;0.5;0.4;1.7;2.2;0.4;0.2;0.2;0.2;0.7;4.8
266;Braxton Key;SF;25;DET;3;0;3;0.3;0.3;1;0;0;0;0.3;0.3;1;1;0.7;0.7;1;0;0.3;0.3;0;0;0;0;0;1.3
267;Louis King;SF;23;PHI;1;0;29;8;13;0.615;4;8;0.5;4;5;0.8;0.769;0;1;0;2;2;4;2;1;0;2;4;20
268;Corey Kispert;SF;23;WAS;74;45;28.3;3.9;7.9;0.497;2.2;5.2;0.424;1.7;2.7;0.637;0.637;1;1.2;0.852;0.4;2.4;2.8;1.2;0.4;0.1;0.7;1.3;11.1
279;Anthony Lamb;SF;25;GSW;62;4;19.3;2.4;5.1;0.471;1.2;3.2;0.367;1.2;1.9;0.652;0.588;0.7;1;0.767;0.9;2.6;3.5;1.5;0.5;0.3;0.9;2.2;6.7
288;Kawhi Leonard;SF;31;LAC;52;50;33.6;8.6;16.8;0.512;2;4.8;0.416;6.6;11.9;0.551;0.572;4.7;5.4;0.871;1.1;5.4;6.5;3.9;1.4;0.5;1.7;1.6;23.8
293;Nassir Little;SF;22;POR;54;4;18.1;2.5;5.6;0.442;1.1;2.9;0.367;1.4;2.7;0.524;0.538;0.6;0.9;0.717;0.5;2.1;2.6;0.9;0.4;0.4;0.7;1.2;6.6
307;Lauri Markkanen;SF;25;UTA;66;66;34.4;8.7;17.3;0.499;3;7.7;0.391;5.6;9.6;0.585;0.586;5.3;6;0.875;2;6.7;8.6;1.9;0.6;0.6;1.9;2.1;25.6
308;Naji Marshall;SF;25;NOP;77;21;23.3;3.2;7.4;0.433;0.9;2.8;0.303;2.4;4.6;0.513;0.49;1.8;2.3;0.789;0.6;3;3.6;2.5;0.7;0.2;1.3;1.5;9.1
310;Cody Martin;SF;27;CHO;7;0;19.1;2;5.1;0.389;0.4;2;0.214;1.6;3.1;0.5;0.431;0.6;1;0.571;1.1;2.3;3.4;1.6;0.6;0.1;0.3;1.9;5
