151;Michael Foster Jr.;PF;20;PHI;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
155;Wenyen Gabriel;PF;25;LAL;68;2;15.1;2.3;3.8;0.596;0.1;0.5;0.278;2.1;3.3;0.647;0.615;0.8;1.2;0.619;1.7;2.5;4.2;0.5;0.4;0.5;0.7;2.1;5.5
158;Usman Garuba;PF;20;HOU;75;1;12.9;1.1;2.4;0.486;0.3;0.8;0.407;0.8;1.6;0.525;0.554;0.4;0.6;0.617;1.6;2.5;4.1;0.9;0.6;0.4;0.6;1.8;3
160;Rudy Gay;PF;36;UTA;56;0;14.6;1.9;5.1;0.38;0.6;2.3;0.254;1.4;2.8;0.484;0.437;0.8;0.9;0.857;0.6;2.3;2.9;1;0.3;0.3;0.7;1.2;5.2
165;Anthony Gill;PF;30;WAS;59;8;10.6;1.2;2.2;0.538;0.1;0.5;0.138;1.1;1.7;0.65;0.553;0.8;1.1;0.731;0.6;1.1;1.7;0.6;0.1;0.2;0.3;1.2;3.3
169;Aaron Gordon;PF;27;DEN;68;68;30.2;6.3;11.2;0.564;0.9;2.5;0.347;5.4;8.6;0.628;0.603;2.8;4.6;0.608;2.4;4.1;6.6;3;0.8;0.8;1.4;1.9;16.3
172;Jerami Grant;PF;28;POR;63;63;35.7;6.9;14.5;0.475;2.3;5.7;0.401;4.6;8.8;0.523;0.554;4.4;5.4;0.813;0.8;3.7;4.5;2.4;0.8;0.8;1.8;2.4;20.5
173;RaiQuan Gray;PF;23;BRK;1;0;35;6;12;0.5;2;5;0.4;4;7;0.571;0.583;2;2;1;3;6;9;7;0;1;4;5;16
176;Draymond Green;PF;32;GSW;73;73;31.5;3.4;6.5;0.527;0.5;1.8;0.305;2.9;4.7;0.612;0.57;1.1;1.5;0.713;0.9;6.3;7.2;6.8;1;0.8;2.8;3.1;8.5
178;JaMychal Green;PF;32;GSW;57;1;14;2.4;4.4;0.54;0.7;1.9;0.378;1.6;2.5;0.667;0.623;0.9;1.2;0.776;1.3;2.3;3.6;0.9;0.4;0.4;0.9;1.8;6.4
180;Jeff Green;PF;36;DEN;56;4;19.5;2.9;5.9;0.488;0.5;1.9;0.288;2.3;4;0.58;0.534;1.6;2.1;0.744;0.7;1.9;2.6;1.2;0.3;0.3;0.8;1.8;7.8
185;Rui Hachimura;PF;24;TOT;63;9;23.3;4.5;9.3;0.486;0.8;2.5;0.319;3.7;6.7;0.55;0.53;1.4;1.9;0.739;0.8;3.7;4.5;0.9;0.3;0.4;0.8;1.1;11.2
